Table 1
Timestamp,First and Last Name,City,State,Submitted by:,Comments:,,Sheet,Hyperlink,Province,Country,Submitted By:,Submitted by,Comments
,Jennifer L. Reinhart,Tucson,Arizona,Patient submitted,,,United States,https://www.castleconnolly.com/top-doctors/jennifer-l-reinhart-obstetrics-gynecology-128cc169254,,,,,
,Jessica Serrano-Rodriguez,Tucson,Arizona,Patient submitted ,,,United States,https://www.nwalliedphysicians.com/doctors-providers/serranorodriguez-jessica-md-8337,,,,,
,Lilia Sen,Tucson,Arizona,Patient submitted ,,,United States,https://www.genesisobgyn.net/copy-of-rebecca-hamilton,,,,,
,Rachael Darche,Tucson,Arizona,,,,United States,https://doctors.bannerhealth.com/provider/Rachel+Darche/453412,,,,,
,Rachel Walker,Tucson,Arizona,,,,United States,https://www.genesisobgyn.net/rachel-walker-md,,,,,
,Raquel Mercado-Sepulveda,Tucson,Arizona,Patient submitted,,,United States,https://mercado-sepulveda-raquel-m-md.business.site/?utm_source=gmb&utm_medium=referral,,,,,
,Stephanie Chin,Tucson,Arizona,Patient submitted,,,United States,https://www.genesisobgyn.net/stephanie-chin-md,,,,,
,Tiffany Woods-Karsten,Tucson,Arizona,Patient submitted,,,United States,,,,,,
,Tori Fewell,Tucson,Arizona,,,,United States,https://www.genesisobgyn.net/victoria-fewell-md,,,,,
,Shruti Bala ,Tucson,Arizona,Patient submitted ,,,United States,https://www.tmcaz.com/provider/shruti-bala-md-obstetrics-and-gynecology,,,,,
,Paul D. Young,Tucson,Arizona,Patient submitted,,,United States,https://www.tmcaz.com/provider/paul-douglas-young-md,,,,,
,Erin Sperry Schlueter ,Tucson,Arizona,Patient submitted,,,United States,https://genesisobgyn.net/providers/erin-sperry-schlueter-md/,,,,,
,Michelle L. Abbate ,Tucson,Arizona,,,,United States,https://doctors.bannerhealth.com/provider/michelle-abbate/2298007,,,,,
,Melissa Bradley ,Tucson,Arizona,Patient submitted,,,United States,https://genesisobgyn.net/providers/melissa-bradley-do/,,,,,
,Randall Reid ,Winslow,Arizona,Patient submitted ,,,United States,https://www.lcmcwmh.com/Staff,,,,,
,John B. Amon,Yuma,Arizona,Patient submitted,,,United States,https://www.onvidahealth.org/provider/john-brock-amon-m-d/,,,,,
,Terry Huff,Mesa,Arizona ,Patient submitted,,,United States,https://doctors.bannerhealth.com/provider/Terry+Huff/450629,,,,,
YYYY-24-DD 23:24:SS,Samantha Medina,Phoenix,Arizona ,,,,United States,https://desertwestobgyn.com/providers/samantha-medina-do,,,,,
,Burt Webb,Scottsdale,Arizona ,Patient submitted,,,United States,https://www.vitalitymds.com/provider/burt-webb-md-facog,,,,,
,Christina Green,Benton,Arkansas,,,,United States,https://www.salinememorial.org/provider/1770841314/christina-green,,,,,
,James Robb,Benton,Arkansas,,,,United States,https://www.salineclinics.org/our-physicians/robb,,,,,
,Ralynn Brann,Benton,Arkansas,,,,United States,https://www.salineclinics.org/find-a-doctor/provider/1932661964',,,,,
,Lisa Bearden,Bentonville ,Arkansas,Patient submitted ,,,United States,https://www.northwesthealth.com/find-a-doctor/bearden-lisa-md-9509,,,,,
YYYY-40-DD 06:40:SS,Brittanie Hagen,Conway,Arkansas,,,,United States,https://www.baptist-health.com/doctor/brittanie-hagen-md/,,,,,
,Courtney Sick,Conway,Arkansas,Patient submitted ,,,United States,https://www.rwcobgyn.com/dr-courtney-sick/,,,,,
,Loren Nolen,Conway,Arkansas,Patient submitted ,,,United States,https://www.conwayobgyn.com/dr-lauren-nolen/,,,,,
,Kala Slaton,Conway,Arkansas,Patient submitted,,,United States,https://www.conwayregional.org/find-a-provider/kala-slaton?y_source=1_MTg0NDA0ODYtNDgzLWxvY2F0aW9uLndlYnNpdGU%3D,,,,,
,Candy Birch,Fayetteville,Arkansas,,,,United States,https://www.wregional.com/main/physician-locator/birch-candy-33,,,,,
,Erin Large,Fayetteville,Arkansas,,,,United States,https://www.wregional.com/main/physician-locator/large-erin-286,,,,,
,Lindsey Seale,Fayetteville,Arkansas,Patient submitted,,,United States,https://parkhillclinic.com/dr-lindsey-seale/,,,,,
,Scott Bailey,Fayetteville,Arkansas,,,,United States,https://parkhillclinic.com/dr-scott-bailey/,,,,,
,Alexis McCollum,Fayetteville,Arkansas,,,,United States,https://www.wregional.com/main/physician-locator/mccollum-alexis-1342,,,,,
,Britte Smith,Fayetteville,Arkansas,Patient submitted,,,United States,https://www.wregional.com/main/physician-locator/smith-britte-25,,,,,
,"Julian ""Tony"" Terry",Fayetteville,Arkansas,,"LGBTQ+ friendly, accepts Medicaid ",,United States,https://parkhillclinic.com/dr-julian-terry/,,,,,
,Michael W. Colgrove ,Fort Smith,Arkansas,Patient submitted,LGBTQ+ friendly ,,United States,https://www.baptist-health.com/find-care/provider/1548474240,,,,,
,Alexis White,Little Rock,Arkansas,,,,United States,https://uamshealth.com/provider/alexis-c-white/,,,,,
,Amy Phillips,Little Rock,Arkansas,,,,United States,https://uamshealth.com/provider/amy-m-phillips/,,,,,
,Ananth Ranganathan,Little Rock,Arkansas,,,,United States,https://www.arwomenscenter.com/dr-ananth-ranganathan,,,,,
,Chad B. Taylor,Little Rock,Arkansas,,,,United States,https://uamshealth.com/provider/chad-b-taylor/,,,,,
,Dora Smith,Little Rock,Arkansas,,,,United States,https://uamshealth.com/provider/dora-mah-smith/,,,,,
,Emily Williams,Little Rock,Arkansas,,,,United States,https://www.arwomenscenter.com/dr-emily-williams,,,,,
,Heather Owens,Little Rock,Arkansas,,,,United States,https://www.centralclinicforwomen.com/dr-heather-owens,,,,,
,Jenny Gregory,Little Rock,Arkansas,,,,United States,https://www.arwomenscenter.com/dr-jenny-gregory,,,,,
,Kenneth Singleton,Little Rock,Arkansas,Patient submitted,,,United States,https://www.cornerstoneclinicforwomen.com/dr-kenneth-singleton,,,,,
,Kim Reynolds,Little Rock,Arkansas,,,,United States,https://www.wlrwomens.com/our-team,,,,,
,Lindsay Osleber,Little Rock,Arkansas,Patient submitted ,,,United States,https://www.arwomenscenter.com/dr-lindsay-osleber,,,,,
,Lindsey Sward,Little Rock,Arkansas,,,,United States,https://uamshealth.com/provider/lindsey-b-sward/,,,,,
YYYY-28-DD 23:28:SS,Mary Luann Racher,Little Rock,Arkansas,,,,United States,https://uamshealth.com/provider/mary-luann-racher/,,,,,
,Melissa Helmich,Little Rock,Arkansas,,,,United States,https://uamshealth.com/provider/melissa-s-helmich/,,,,,
,Michael Smith,Little Rock,Arkansas,,,,United States,https://uamshealth.com/provider/michael-v-smith/,,,,,
,Nirvana Manning,Little Rock,Arkansas,,,,United States,https://uamshealth.com/provider/nirvana-a-manning/,,,,,
,"William ""Sam"" Greenfield",Little Rock,Arkansas,,,,United States,https://uamshealth.com/provider/william-w-greenfield/,,,,,
,Renee P. McGraw,Little Rock,Arkansas,Patient submitted,,,United States,https://uamshealth.com/provider/renee-p-mcgraw/,,,,,
,Lindsay Heulitt,Little Rock,Arkansas,Patient submitted,,,United States,https://www.centralclinicforwomen.com/dr-lindsay-heulitt1,,,,,
,Renee McGraw,Little Rock ,Arkansas,,,,United States,https://uamshealth.com/provider/renee-p-mcgraw/,,,,,
,Leticia A. Jones,Little Rock ,Arkansas,Patient submitted ,,,United States,https://www.baptist-health.com/doctor/leticia-ann-jones-md,,,,,
,Julia Goodwin ,Little Rock ,Arkansas,Patient submitted ,,,United States,https://www.sharecare.com/doctor/dr-julia-goodwin,,,,,
,Maureen Flowers,Mountain Home,Arkansas,Patient submitted ,,,United States,https://www.baxterregional.org/find-a-provider/maureen-flowers-md/,,,,,
,Dina Epstein,North Little Rock,Arkansas,,,,United States,https://www.baptist-health.com/doctor/dina-epstein-md/,,,,,
,Kevin Barber,North Little Rock,Arkansas,Patient submitted,,,United States,https://www.baptist-health.com/doctor/kevin-barber-md/,,,,,
,Jodi Turano ,Paragould,Arkansas,Patient submitted ,,,United States,https://www.myammc.org/clinic/women_s_clinic/26,,,,,
,Suzanna Chatterjee ,Russellville,Arkansas,,,,United States,https://www.rivervalleyobgyn.com/,,,,,
,Suzanna Chatterjee,Russelville,Arkansas,,,,United States,https://www.saintmarysregional.com/provider/1942439377/suzanna-chatterjee-md,,,,,
,Era Elizabeth Hamilton,Anaheim & Irvine,California,Patient submitted ,,,United States,https://healthy.kaiserpermanente.org/southern-california/physicians/era-hamilton-0495254,,,,,
,Emma Hackett,Arcata,California,Patient submitted,,,United States,https://opendoorhealth.com/portfolio-items/emma-hackett-md/,,,,,
,James S. Dunn,Auburn,California,Patient submitted,,,United States,https://www.auburnurogyn.com/provider/james-s-dunn-jr-md,,,,,
,Radhika V. Madhavan,Berkeley,California,Patient submitted ,,,United States,https://www.sutterhealth.org/find-doctor/dr-radhika-madhavan,,,,,
,Pantea Pahlavan ,Berkeley,California,Patient submitted ,,,United States,https://health.usnews.com/doctors/pantea-pahlavan-267036,,,,,
,Brittany L. Schall,Berkeley & Oakland,California,,,,United States,https://www.sutterhealth.org/find-doctor/dr-brittany-l-schall,,,,,
YYYY-25-DD 20:25:SS,Deborah Quinn-Chen,Burlingame,California,,,,United States,https://www.sutterhealth.org/find-doctor/dr-deborah-quinnchen,,,,,
YYYY-09-DD 01:09:SS,Beth Rasmussen ,Campbell ,California,,,,United States,https://mydoctor.kaiserpermanente.org/ncal/providers/bethrasmussen,,,,,
,Sarah Burke,Chico,California,,,,United States,https://www.enloe.org/find-a-doctor/profile/sarah-burke/,,,,,
