full_name,credentials,city,state_full,state_code,province,country,website_url,submitted_by,comments,source_region
Lindsey Sward,,Little Rock,Arkansas,AR,,,https://uamshealth.com/provider/lindsey-b-sward/,,,United States
Mary Luann Racher,,Little Rock,Arkansas,AR,,,https://uamshealth.com/provider/mary-luann-racher/,,,United States
Melissa Helmich,,Little Rock,Arkansas,AR,,,https://uamshealth.com/provider/melissa-s-helmich/,,,United States
Michael Smith,,Little Rock,Arkansas,AR,,,https://uamshealth.com/provider/michael-v-smith/,,,United States
Nirvana Manning,,Little Rock,Arkansas,AR,,,https://uamshealth.com/provider/nirvana-a-manning/,,,United States
"William ""sam"" Greenfield",,Little Rock,Arkansas,AR,,,https://uamshealth.com/provider/william-w-greenfield/,,,United States
Renee P. Mcgraw,,Little Rock,Arkansas,AR,,,https://uamshealth.com/provider/renee-p-mcgraw/,Patient submitted,,United States
Lindsay Heulitt,,Little Rock,Arkansas,AR,,,https://www.centralclinicforwomen.com/dr-lindsay-heulitt1,Patient submitted,,United States
Renee Mcgraw,,Little Rock,Arkansas,AR,,,https://uamshealth.com/provider/renee-p-mcgraw/,,,United States
Leticia A. Jones,,Little Rock,Arkansas,AR,,,https://www.baptist-health.com/doctor/leticia-ann-jones-md,Patient submitted ,,United States
Julia Goodwin,,Little Rock,Arkansas,AR,,,https://www.sharecare.com/doctor/dr-julia-goodwin,Patient submitted ,,United States
Maureen Flowers,,Mountain Home,Arkansas,AR,,,https://www.baxterregional.org/find-a-provider/maureen-flowers-md/,Patient submitted ,,United States
Dina Epstein,,North Little Rock,Arkansas,AR,,,https://www.baptist-health.com/doctor/dina-epstein-md/,,,United States
Kevin Barber,,North Little Rock,Arkansas,AR,,,https://www.baptist-health.com/doctor/kevin-barber-md/,Patient submitted,,United States
Jodi Turano,,Paragould,Arkansas,AR,,,https://www.myammc.org/clinic/women_s_clinic/26,Patient submitted ,,United States
Suzanna Chatterjee,,Russellville,Arkansas,AR,,,https://www.rivervalleyobgyn.com/,,,United States
Suzanna Chatterjee,,Russelville,Arkansas,AR,,,https://www.saintmarysregional.com/provider/1942439377/suzanna-chatterjee-md,,,United States
Era Elizabeth Hamilton,,Anaheim & Irvine,California,CA,,,https://healthy.kaiserpermanente.org/southern-california/physicians/era-hamilton-0495254,Patient submitted ,,United States
Emma Hackett,,Arcata,California,CA,,,https://opendoorhealth.com/portfolio-items/emma-hackett-md/,Patient submitted,,United States
James S. Dunn,,Auburn,California,CA,,,https://www.auburnurogyn.com/provider/james-s-dunn-jr-md,Patient submitted,,United States
Radhika V. Madhavan,,Berkeley,California,CA,,,https://www.sutterhealth.org/find-doctor/dr-radhika-madhavan,Patient submitted ,,United States
Pantea Pahlavan,,Berkeley,California,CA,,,https://health.usnews.com/doctors/pantea-pahlavan-267036,Patient submitted ,,United States
Brittany L. Schall,,Berkeley & Oakland,California,CA,,,https://www.sutterhealth.org/find-doctor/dr-brittany-l-schall,,,United States
Deborah Quinn-chen,,Burlingame,California,CA,,,https://www.sutterhealth.org/find-doctor/dr-deborah-quinnchen,,,United States
Beth Rasmussen,,Campbell,California,CA,,,https://mydoctor.kaiserpermanente.org/ncal/providers/bethrasmussen,,,United States
Sarah Burke,,Chico,California,CA,,,https://www.enloe.org/find-a-doctor/profile/sarah-burke/,,,United States
Ray Pourang Kamali,,Chula Vista,California,CA,,,https://www.sharp.com/san-diego-doctors/dr-ray-pourang-kamali-71921,Patient submitted,,United States
Megan Beatty,,Dublin,California,CA,,,https://www.sutterhealth.org/find-doctor/dr-megan-beatty,,,United States
Tim Nicely,,Eureka,California,CA,,,https://www.providence.org/doctors/family-medicine/ca/eureka/timothy-paik-nicely-1760489389,Patient submitted ,,United States
Stella Mai Huang,,Fairfield,California,CA,,,https://providers.northbay.org/provider/Stella+Mai+Huang/2251160,Patient submitted,,United States
Dario Gambetta,,Folsom,California,CA,,,https://mydoctor.kaiserpermanente.org/ncal/providers/dariogambetta,Patient submitted ,,United States
Linh Nguyen,,Fountain Valley,California,CA,,,https://www.thewomenshealthcenter.com/dr-linh-dan-nguyen,Patient submitted,,United States
Minal Mehta,,Fountain Valley,California,CA,,,https://www.socalobgyn.net/,,,United States
Lena Nguyen,,Fountain Valley,California,CA,,,https://www.thewomenshealthcenter.com/dr-lena-nguyen,Patient submitted,,United States
Hind Al-azawi,,Fountain Valley,California,CA,,,https://www.drmehtaobgyn.com/provider/hind-al-azawi-md,,,United States
Pamela Emeney,,Fresno,California,CA,,,https://www.universitymds.com/md-profiles/pamela-emeney/,Patient submitted,,United States
